codigo_parlamentar,nome_parlamentar,nome_completo,sexo,sigla_partido,uf,forma_tratamento,url_foto,url_pagina,email
5573,Abel Rebouças,Abel Rebouças São José,Masculino,PDT,,Senador,,,
4981,Acir Gurgacz,Acir Marcos Gurgacz,Masculino,PDT,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981,sen.acirgurgacz@senado.leg.br
5918,Adilson Gomes,Adilson Gomes Silva,Masculino,,,Senador,,,
5625,Adilson Silva dos Santos,Adilson Silva dos Santos,Masculino,PEN,,Senador,,,
6382,Adrian da Blukit,Adrian Rogers Censi,Masculino,,,Senador,,,
6346,Adélia Maria,Adélia Maria Correia Santos Konishi,Feminino,PV,,Senadora,,,
6026,Afonso Parente,Afonso Valter Parente Pinto,Masculino,,,Senador,,,
5672,Alan Rick,Alan Rick Miranda,Masculino,UNIÃO,AC,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672,sen.alanrick@senado.leg.br
5923,Alberto David,Alberto da Silva David,Masculino,,,Senador,,,
5982,Alessandro Vieira,Alessandro Vieira,Masculino,MDB,SE,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982,sen.alessandrovieira@senado.leg.br
6360,Alex Diniz,Alex Sandro Coelho Diniz,Masculino,,,Senador,,,
4610,Alexandre Silveira,Alexandre Silveira de Oliveira,Masculino,PSD,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4610,sen.alexandresilveira@senado.leg.br
3651,Alfredo Cotait Neto,Alfredo Cotait Neto,Masculino,DEM,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3651.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3651,alfredo.cotait@senador.leg.br
6379,Aline Rezende,Aline Maria de Menezes Rezende Chagas,Feminino,,,Senadora,,,
5962,Alisson Taveira,Alisson Taveira Rocha Leal,Masculino,,,Senador,,,
945,Alvaro Dias,Alvaro Fernandes Dias,Masculino,PODEMOS,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/945,sen.alvarodias@senado.leg.br
5607,Alzenir Porto,Maria Alzenir Porto da Costa,Feminino,PTB,,Senadora,,,
5989,Ana Maria,Ana Maria de Resende Vieira,Feminino,,,Senadora,,,
6358,Ana Paula Lobato,Ana Paula Dias Lobato Nova Alves,Feminino,PDT,MA,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358,sen.anapaulalobato@senado.leg.br
5950,Ana Paula Tongo,Ana Paula Tongo da Silva,Feminino,,,Senadora,,,
5969,Andre Filipe,Andre Felipe de Oliveira da Silva,Masculino,,,Senador,,,
6373,Andrea Fontes,Andrea Gomes Fontes Rodrigues,Feminino,,,Senadora,,,
6366,André Amaral,Andre Augusto Castro do Amaral,Masculino,UNIÃO,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6366.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6366,sen.andreamaral@senado.leg.br
5967,Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,Masculino,PSD,BA,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967,sen.angelocoronel@senado.leg.br
5529,Antonio Anastasia,Antonio Augusto Junho Anastasia,Masculino,PSD,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529,sen.antonioanastasia@senado.leg.br
6001,Arlindo Silva,Arlindo Penha da Silva,Masculino,,,Senador,,,
